模块,卡片ID,题目,音频链接
模块 01,601b0aa61685bf48bbb2fcd3,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/vbwyw6ovvenaq1ws5qul.mp3
模块 01,601b0aa71685bf48bbb2fcdf,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/mgf4mebhzg96pabahqgu.mp3
模块 01,601b0aa71685bf48bbb2fcdb,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/khgv8nbyinurlajrnmzy.mp3
模块 01,601b0aa71685bf48bbb2fcdd,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/xag4gb9yv0nmkkzfkgdi.mp3
模块 01,601b0aa61685bf48bbb2fcd1,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/zj1uuj7108thu3piduig.mp3
模块 01,601b0aa71685bf48bbb2fcd7,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/lnewfxcnxcdwdniyuywu.mp3
模块 01,601b0aa71685bf48bbb2fcd9,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/ds1nowcxcgjwnde4idv9.mp3
模块 01,601b0aa71685bf48bbb2fce3,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/kv12hewnehlucxt8gv1b.mp3
模块 01,601b0aa71685bf48bbb2fcd5,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/umkyvidzzawf3zluonis.mp3
模块 01,601b0aa71685bf48bbb2fce1,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/kuhm2ex6duwys3t3qtac.mp3
模块 01,601b0aa71685bf48bbb2fce7,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/kviugksw6babjo80enyh.mp3
模块 01,601b0aa71685bf48bbb2fce9,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/kodeasflbwxqgtm2jcna.mp3
模块 01,601b0aa71685bf48bbb2fceb,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/nspqjutp5geaj4ndn6pf.mp3
模块 01,601b0aa81685bf48bbb2fced,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/ejtnq8rpzimv7ipjwnc4.mp3
模块 01,601b0aa81685bf48bbb2fcef,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/j3dbqoljhsdqoxaconvm.mp3
模块 01,601b0aa81685bf48bbb2fcf1,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/mnr1oyarp524fdreubfs.mp3
模块 01,601b0aa81685bf48bbb2fcf3,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/kpuguqkbys8ayexydwlr.mp3
模块 01,601b0aa81685bf48bbb2fcf5,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/wmusbrt0l4jf2ouovnbm.mp3
模块 01,601b0aa81685bf48bbb2fcf7,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/hm1j8ohimr7u7telem7a.mp3
模块 01,601b0aa71685bf48bbb2fce5,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/tgdzaaysmb9ovkjyty3g.mp3
模块 01,601b0aa81685bf48bbb2fcf9,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/zkj4yswll6phv3ekue0c.mp3
模块 01,601b0aa81685bf48bbb2fcfb,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/wlerwn1kk8qr6vgf1dfl.mp3
模块 01,601b0aa81685bf48bbb2fcfd,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/ujs7udwhupxo7mqqgimr.mp3
模块 01,601b0aa81685bf48bbb2fcff,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/wik6a0sw9ivl2a96uxag.mp3
模块 01,601b0aa81685bf48bbb2fd01,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/uwx5jbsk2df87o8mxc2l.mp3
模块 01,601b0aa81685bf48bbb2fd03,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/yv9c5opdbmgnu1ompwqu.mp3
模块 01,601b0aa81685bf48bbb2fd05,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/qkrwh6ior8v1bir0vbj8.mp3
模块 01,601b0aa81685bf48bbb2fd07,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/wwyuosgbjirhk5n7e2xu.mp3
模块 01,601b0aa81685bf48bbb2fd09,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/iglc7wu3mvptc4rcwziy.mp3
模块 01,601b0aa81685bf48bbb2fd0b,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/mqhatjedgxsisswyngd6.mp3
模块 01,606796d3b85fd9f56c2db239,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067987626c2b0f5dd80f1ec,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067992c26c2b0f5dd80f1ee,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067999626c2b0f5dd80f1ef,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,606799f926c2b0f5dd80f1f0,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,60679a4526c2b0f5dd80f1f1,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,60679a9f26c2b0f5dd80f1f2,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,60679b1e26c2b0f5dd80f1f3,请选出下列单词中没有长元音的那个单词：,
模块 01,60679bd026c2b0f5dd80f1f4,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,60679c3a26c2b0f5dd80f1f5,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,60679c8b26c2b0f5dd80f1f6,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,60679d2226c2b0f5dd80f1f7,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,60679d7426c2b0f5dd80f1f8,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,60679de526c2b0f5dd80f1f9,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,60679e3b26c2b0f5dd80f1fa,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,60679e9326c2b0f5dd80f1fb,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,60679ed926c2b0f5dd80f1fc,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,60679f2426c2b0f5dd80f1fd,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,60679f7c26c2b0f5dd80f1fe,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,60679fe226c2b0f5dd80f1ff,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067a05026c2b0f5dd80f200,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067a0a726c2b0f5dd80f201,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067a0f726c2b0f5dd80f202,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067a19e26c2b0f5dd80f203,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067a24626c2b0f5dd80f204,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067a29726c2b0f5dd80f205,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067a30026c2b0f5dd80f206,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067a37026c2b0f5dd80f207,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067a3ce26c2b0f5dd80f208,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067a52126c2b0f5dd80f20c,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067a5a226c2b0f5dd80f20d,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067a5fa26c2b0f5dd80f20e,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067a72526c2b0f5dd80f211,请选出含有不同元音音素（长音和短音算一个音素）的那个单词：,
模块 01,6067abc026c2b0f5dd80f275,请选出含有不同元音的那个单词：,
模块 01,6067ac7b26c2b0f5dd80f2ab,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067accb26c2b0f5dd80f2bf,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067af6226c2b0f5dd80f2d1,请选出被标红的字母的发音和其他单词不同的那个单词：,
