模块,卡片ID,题目,正确答案,卡片类型,音频链接
模块 01,601b0aa61685bf48bbb2fcd3,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,"“Y” 或 “y” 或 “Y y” 或 “Y,y” 或 “Y, y”",dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/vbwyw6ovvenaq1ws5qul.mp3
模块 01,601b0aa71685bf48bbb2fcdf,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,"“W” 或 “w” 或 “W w” 或 “W,w” 或 “W, w”",dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/mgf4mebhzg96pabahqgu.mp3
模块 01,601b0aa71685bf48bbb2fcdb,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,"“Ü” 或 “ü” 或 “Ü ü” 或 “Ü,ü” 或 “Ü, ü”",dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/khgv8nbyinurlajrnmzy.mp3
模块 01,601b0aa71685bf48bbb2fcdd,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,"“T” 或 “t” 或 “T t” 或 “T,t” 或 “T, t”",dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/xag4gb9yv0nmkkzfkgdi.mp3
模块 01,601b0aa61685bf48bbb2fcd1,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,"“Z” 或 “z” 或 “Z z” 或 “Z,z” 或 “Z, z”",dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/zj1uuj7108thu3piduig.mp3
模块 01,601b0aa71685bf48bbb2fcd7,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,"“X” 或 “x” 或 “X x” 或 “X,x” 或 “X, x”",dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/lnewfxcnxcdwdniyuywu.mp3
模块 01,601b0aa71685bf48bbb2fcd9,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,"“V” 或 “v” 或 “V v” 或 “V,v” 或 “V, v”",dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ds1nowcxcgjwnde4idv9.mp3
模块 01,601b0aa71685bf48bbb2fce3,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,"“S” 或 “s” 或 “S s” 或 “S,s” 或 “S, s”",dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/kv12hewnehlucxt8gv1b.mp3
模块 01,601b0aa71685bf48bbb2fcd5,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,"“U” 或 “u” 或 “U u” 或 “U,u” 或 “U, u”",dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/umkyvidzzawf3zluonis.mp3
模块 01,601b0aa71685bf48bbb2fce1,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,“ß” 或 “ẞ”,dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/kuhm2ex6duwys3t3qtac.mp3
